Mes;Categor¡a;?tem;Referencia;Descripci¢n;Cantidad en Principal;Cantidad m¡nima en Principal;Cantidad m xima en Principal;Cantidad total;Cantidad en remisiones;Unidad;Estado;Costo promedio;Total
Mayo;VEHICULOS;DESENGRASANTE MULTIPROPOSITO GARRAFA;DG06;;1;3;6;1;0;Unidad;Activo;41146;41146
Mayo;ROPA;DETERGENTE LIQUIDO 1L;DM03;;3;8;16;3;1;Unidad;Activo;2868,547619;8605,64
Mayo;ROPA;DETERGENTE LIQUIDO 2L;DM04;;6;5;10;6;0;Unidad;Activo;4749,574847;28497,45
Mayo;ROPA;DETERGENTE LIQUIDO GALON;DM05;;2;22;44;2;0;Unidad;Activo;9095,164713;18190,33
Mayo;ROPA;DETERGENTE LIQUIDO GARRAFA;DM06;;6;4;8;6;0;Unidad;Activo;41191,99688;247151,98
Mayo;HOGAR;DESMANCHADOR DE PISOS 500 mL.;DP02;;13;3;6;13;0;Unidad;Activo;1175;15275
Mayo;HOGAR;DESMANCHADOR DE PISOS 1 L;DP03;;7;5;10;7;1;Unidad;Activo;2228,235294;15597,65
Mayo;HOGAR;DESMANCHADOR DE PISOS 2 L;DP04;;-6;3;6;-6;0;Unidad;Activo;3363,674191;-20182,05
Mayo;HOGAR;DESMANCHADOR DE PISOS GALON;DP05;;13;9;18;13;0;Unidad;Activo;5611,594076;72950,72
Mayo;HOGAR;DESMANCHADOR DE PISOS GARRAFA;DP06;;0;1;2;0;0;Unidad;Activo;25886;0
Mayo;ROPA;DESMANCHADOR ROPA COLOR 500 ML;RC02;;0;2;4;0;0;Unidad;Inactivo;927;0
Mayo;ROPA;DESMANCHADOR ROPA COLOR LIT;RC03;;7;6;12;7;0;Unidad;Activo;2719;19033
Mayo;ROPA;DESMANCHADOR ROPA COLOR 2 LIT;RC04;;14;0;0;14;0;Unidad;Activo;3866,336306;54128,71
Mayo;ROPA;DESMANCHADOR ROPA COLOR GALON;RC05;;11;4;8;11;0;Unidad;Activo;5374,629909;59120,93
Mayo;ROPA;DESMANCHADOR ROPA COLOR GARRAFA;RC06;;0;1;2;0;0;Unidad;Activo;26784;0
Mayo;HOGAR;ELIMINADOR DE OLORES FRUTOS ROJOS 500 ML;EO02;;-20;4;8;-20;0;Unidad;Activo;1590,319249;-31806,38
Mayo;HOGAR;ELIMINADOR DE OLORES FRUTOS ROJOS 1 L;EO03;;2;2;4;2;0;Unidad;Activo;3182,840541;6365,68
Mayo;HOGAR;ELIMINADOR DE OLORES FRUTOS ROJOS GALON;EO05;;-14;3;6;-14;0;Unidad;Activo;8583,444444;-120168,22
Mayo;HOGAR;ELIMINADOR DE OLORES FRUTOS ROJOS GARRAFA;EO06;;0;1;2;0;0;Unidad;Activo;33474;0
Mayo;HOGAR;ELIMINADOR DE OLORES LAVANDA 500 ML;EO02L;;14;2;4;14;0;Unidad;Activo;1793,286212;25106,01
Mayo;HOGAR;ELIMINADOR DE OLORES LAVANDA 1 L;EO03L;;7;3;6;7;0;Unidad;Activo;2759,958461;19319,71
Mayo;HOGAR;ELIMINADOR DE OLORES LAVANDA GALON;EO05L;;3;7;10;3;0;Unidad;Activo;8490,279412;25470,84
Mayo;HOGAR;ELIMINADOR DE OLORES LAVANDA GARRAFA;EO06L;;0;1;2;0;0;Unidad;Activo;35079,33;0
Mayo;CUIDADO PERSONAL;JABON DE MANOS Y CUERPO FRUTOS ROJOS 300 mL;JB01FR;;0;1;2;0;0;Unidad;Activo;959,985714;0
